Wall time,Step,Value
1757757565.9571714,4506000000,77.3131332397461
1757757604.9613214,4514400000,77.25758361816406
1757757616.061339,4516800000,77.24755859375
1757757710.6579669,4537200000,77.49351501464844
1757757721.7354236,4539600000,77.42169189453125
1757757727.2830036,4540800000,77.43338012695312
1757757749.5124488,4545600000,77.43777465820312
1757757766.1956208,4549200000,77.38337707519531
1757757894.1178691,4576800000,77.49481964111328
1757757949.6919265,4588800000,77.43002319335938
1757758088.6234357,4618800000,77.70515441894531
1757758099.7299228,4621200000,77.47270202636719
1757758155.4120235,4633200000,77.69608306884766
1757758205.4815507,4644000000,77.51777648925781
1757758222.172693,4647600000,77.73665618896484
1757758388.971393,4683600000,77.56510925292969
1757758439.0349822,4694400000,77.60936737060547
1757758461.2660532,4699200000,77.53365325927734
1757758494.6076071,4706400000,77.84386444091797
1757758550.2231166,4718400000,77.60150909423828
1757758561.3059838,4720800000,77.64533996582031
1757758577.9856622,4724400000,77.49325561523438
1757758672.6210465,4744800000,77.57716369628906
1757758694.8619752,4749600000,77.73627471923828
1757758744.944367,4760400000,77.6323013305664
1757758795.1010866,4771200000,77.58972930908203
1757758828.4931169,4778400000,77.65665435791016
1757758856.3301942,4784400000,77.70105743408203
1757758978.7999911,4810800000,77.51271057128906
1757759001.0700285,4815600000,77.3979263305664
1757759012.2060473,4818000000,77.61094665527344
1757759062.2673225,4828800000,77.62055206298828
1757759090.0615594,4834800000,77.65377044677734
1757759123.449765,4842000000,77.81061553955078
1757759156.7983413,4849200000,77.60469818115234
1757759195.7787313,4857600000,77.66986846923828
1757759401.881384,4902000000,77.68528747558594
1757759446.462181,4911600000,77.41073608398438
1757759541.3715358,4932000000,77.41088104248047
1757759574.8671227,4939200000,77.48641967773438
1757759608.346522,4946400000,77.54446411132812
1757759625.0884416,4950000000,77.71693420410156
1757759747.9449055,4976400000,77.6105728149414
1757759803.6825936,4988400000,77.72158813476562
1757759865.0108926,5001600000,77.81629943847656
1757759920.8147137,5013600000,77.6655502319336
1757759926.4050093,5014800000,77.80792236328125
1757759943.1853359,5018400000,77.75287628173828
1757760004.528836,5031600000,77.58007049560547
1757760088.1257353,5049600000,77.78598022460938
1757760166.2471595,5066400000,77.8399429321289
1757760199.746484,5073600000,77.74842071533203
1757760210.879653,5076000000,77.90345001220703
1757760250.0295763,5084400000,77.98297119140625
1757760305.9398017,5096400000,77.97842407226562
1757760322.6558797,5100000000,77.6320571899414
1757760339.3752015,5103600000,77.81287384033203
1757760344.9549232,5104800000,77.90845489501953
1757760367.23876,5109600000,77.90531921386719
1757760495.6920273,5137200000,77.82888793945312
1757760501.2649994,5138400000,77.55858612060547
1757760596.156494,5158800000,77.8813705444336
1757760707.9487174,5182800000,77.70610046386719
1757760735.894694,5188800000,77.83468627929688
1757760763.7597845,5194800000,77.83941650390625
1757760797.274729,5202000000,77.99620056152344
1757761032.0827146,5252400000,78.05261993408203
1757761048.8266923,5256000000,77.96277618408203
1757761138.424572,5275200000,78.0870361328125
1757761183.194221,5284800000,78.13582611083984
1757761205.5622272,5289600000,78.10382080078125
1757761222.3572676,5293200000,78.1596908569336
1757761289.4164562,5307600000,77.91087341308594
